segment,token,symbol,tradingsymbol,instrument_type,expiry,ticksize,lotsize,optiontype,strike,priceprec,multiplier,isin,pricemult,company
NSE,16669,BAJAJ-AUTO,BAJAJ-AUTO-EQ,EQ,1011980,100,1,EQ,0,2,1,INE917I01010,1.0,BAJAJ AUTO LIMITED
NSE,5900,AXISBANK,AXISBANK-EQ,EQ,1011980,10,1,EQ,0,2,1,INE238A01034,1.0,AXIS BANK LIMITED
NSE,275,AUROPHARMA,AUROPHARMA-EQ,EQ,1011980,10,1,EQ,0,2,1,INE406A01037,1.0,AUROBINDO PHARMA LTD
NSE,21238,AUBANK,AUBANK-EQ,EQ,1011980,5,1,EQ,0,2,1,INE949L01017,1.0,AU SMALL FINANCE BANK LTD
NSE,6066,ATGL,ATGL-EQ,EQ,1011980,5,1,EQ,0,2,1,INE399L01023,1.0,ADANI TOTAL GAS LIMITED
NSE,14418,ASTRAL,ASTRAL-EQ,EQ,1011980,10,1,EQ,0,2,1,INE006I01046,1.0,ASTRAL LIMITED
NSE,236,ASIANPAINT,ASIANPAINT-EQ,EQ,1011980,10,1,EQ,0,2,1,INE021A01026,1.0,ASIAN PAINTS LIMITED
NSE,212,ASHOKLEY,ASHOKLEY-EQ,EQ,1011980,1,1,EQ,0,2,1,INE208A01029,1.0,ASHOK LEYLAND LTD
NSE,157,APOLLOHOSP,APOLLOHOSP-EQ,EQ,1011980,50,1,EQ,0,2,1,INE437A01024,1.0,APOLLO HOSPITALS ENTER. L
NSE,25780,APLAPOLLO,APLAPOLLO-EQ,EQ,1011980,10,1,EQ,0,2,1,INE702C01027,1.0,APL APOLLO TUBES LTD
NSE,1270,AMBUJACEM,AMBUJACEM-EQ,EQ,1011980,5,1,EQ,0,2,1,INE079A01024,1.0,AMBUJA CEMENTS LTD
NSE,11703,ALKEM,ALKEM-EQ,EQ,1011980,50,1,EQ,0,2,1,INE540L01014,1.0,ALKEM LABORATORIES LTD.
NSE,17388,ADANIPOWER,ADANIPOWER-EQ,EQ,1011980,1,1,EQ,0,2,1,INE814H01029,1.0,ADANI POWER LTD
NSE,15083,ADANIPORTS,ADANIPORTS-EQ,EQ,1011980,10,1,EQ,0,2,1,INE742F01042,1.0,ADANI PORT & SEZ LTD
NSE,3563,ADANIGREEN,ADANIGREEN-EQ,EQ,1011980,10,1,EQ,0,2,1,INE364U01010,1.0,ADANI GREEN ENERGY LTD
NSE,25,ADANIENT,ADANIENT-EQ,EQ,1011980,10,1,EQ,0,2,1,INE423A01024,1.0,ADANI ENTERPRISES LIMITED
NSE,10217,ADANIENSOL,ADANIENSOL-EQ,EQ,1011980,10,1,EQ,0,2,1,INE931S01010,1.0,ADANI ENERGY SOLUTION LTD
NSE,21614,ABCAPITAL,ABCAPITAL-EQ,EQ,1011980,5,1,EQ,0,2,1,INE674K01013,1.0,ADITYA BIRLA CAPITAL LTD.
NSE,13,ABB,ABB-EQ,EQ,1011980,50,1,EQ,0,2,1,INE117A01022,1.0,ABB INDIA LIMITED
NSE,13061,360ONE,360ONE-EQ,EQ,1011980,10,1,EQ,0,2,1,INE466L01038,1.0,360 ONE WAM LIMITED
